pathway	category
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Immune System
REACTOME_DAP12_INTERACTIONS	Immune System
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Immune System
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS	Immune System
REACTOME_NEUTROPHIL_DEGRANULATION	Immune System
REACTOME_ANTIMICROBIAL_PEPTIDES	Immune System
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	Immune System
REACTOME_HOST_INTERACTIONS_WITH_INFLUENZA_FACTORS	Disease
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	Disease
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	Immune System
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	Immune System
REACTOME_INNATE_IMMUNE_SYSTEM	Immune System
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	Disease
REACTOME_NOD1_2_SIGNALING_PATHWAY	Immune System
REACTOME_INFLAMMASOMES	Immune System
REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BONT_D	Disease
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	Immune System
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	Immune System
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	Immune System
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	Immune System
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	Immune System
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	Immune System
REACTOME_TRAF6_MEDIATED_NF_KB_ACTIVATION	Immune System
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10	Immune System
REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING	Immune System
REACTOME_FRS2_MEDIATED_ACTIVATION	Signal Transduction
REACTOME_ARMS_MEDIATED_ACTIVATION	Signal Transduction
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	Signal Transduction
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	Signal Transduction
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3:SMAD4_HETEROTRIMER	Gene expression (Transcription)
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3:SMAD4_HETEROTRIMER	Signal Transduction
REACTOME_APC_C:CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C:CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Cell Cycle
REACTOME_CONVERSION_FROM_APC_C:CDC20_TO_APC_C:CDH1_IN_LATE_ANAPHASE	Cell Cycle
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C:CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	Cell Cycle
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE	Cell Cycle
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	Transport of small molecules
REACTOME_PLASMA_LIPOPROTEIN_REMODELING	Transport of small molecules
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE	Transport of small molecules
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	Cell Cycle
REACTOME_PHOSPHORYLATION_OF_EMI1	Cell Cycle
REACTOME_APC_C:CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	Cell Cycle
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	Cell Cycle
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	Disease
REACTOME_GAB1_SIGNALOSOME	Signal Transduction
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	Signal Transduction
REACTOME_EGFR_DOWNREGULATION	Signal Transduction
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA	Signal Transduction
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	Metabolism
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	Metabolism
REACTOME_CS_DS_DEGRADATION	Metabolism
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	Cell Cycle
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE	Cell Cycle
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS	Cell Cycle
REACTOME_TOLL_LIKE_RECEPTOR_TLR1:TLR2_CASCADE	Immune System
REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN	Immune System
REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS	Immune System
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	Immune System
REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION	Immune System
REACTOME_LRR_FLII_INTERACTING_PROTEIN_1_LRRFIP1_ACTIVATES_TYPE_I_IFN_PRODUCTION	Immune System
REACTOME_REGULATION_OF_INNATE_IMMUNE_RESPONSES_TO_CYTOSOLIC_DNA	Immune System
REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS	Disease
REACTOME_SIGNALING_BY_FGFR2_IIIA_TM	Disease
REACTOME_MITOCHONDRIAL_BIOGENESIS	Organelle biogenesis and maintenance
REACTOME_CILIUM_ASSEMBLY	Organelle biogenesis and maintenance
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS	Developmental Biology
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	Developmental Biology
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3PLUS_PROGENITOR_CELLS	Developmental Biology
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS	Developmental Biology
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	Signal Transduction
REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION	Signal Transduction
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	Signal Transduction
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS	Signal Transduction
REACTOME_SIGNALLING_TO_ERKS	Signal Transduction
REACTOME_PI3K_AKT_ACTIVATION	Signal Transduction
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	Signal Transduction
REACTOME_SIGNALLING_TO_RAS	Signal Transduction
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	Signal Transduction
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN	Signal Transduction
REACTOME_HEME_BIOSYNTHESIS	Metabolism
REACTOME_HEME_DEGRADATION	Metabolism
REACTOME_SIGNALING_BY_FGFR1	Signal Transduction
REACTOME_SIGNALING_BY_FGFR2	Signal Transduction
REACTOME_SIGNALING_BY_FGFR3	Signal Transduction
REACTOME_SIGNALING_BY_FGFR4	Signal Transduction
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION	Signal Transduction
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	Signal Transduction
REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION	Signal Transduction
REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	Signal Transduction
REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION	Signal Transduction
REACTOME_GAP_JUNCTION_ASSEMBLY	Vesicle-mediated transport
REACTOME_GAP_JUNCTION_DEGRADATION	Vesicle-mediated transport
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	Vesicle-mediated transport
REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM	Signal Transduction
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	Signal Transduction
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	Metabolism
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	Metabolism
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL	Metabolism
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	Signal Transduction
REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	Signal Transduction
REACTOME_P75NTR_SIGNALS_VIA_NF_KB	Signal Transduction
REACTOME_P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1	Signal Transduction
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	Signal Transduction
REACTOME_P75NTR_REGULATES_AXONOGENESIS	Signal Transduction
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	Signal Transduction
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	Metabolism
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	Metabolism
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	Signal Transduction
REACTOME_RHO_GTPASE_CYCLE	Signal Transduction
REACTOME_RHO_GTPASE_EFFECTORS	Signal Transduction
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	Signal Transduction
REACTOME_REPRESSION_OF_WNT_TARGET_GENES	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_CIT	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_KTN1	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS	Signal Transduction
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	Signal Transduction
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	Signal Transduction
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	Signal Transduction
REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING	Signal Transduction
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	Signal Transduction
REACTOME_ANDROGEN_BIOSYNTHESIS	Metabolism
REACTOME_ESTROGEN_BIOSYNTHESIS	Metabolism
REACTOME_MINERALOCORTICOID_BIOSYNTHESIS	Metabolism
REACTOME_GLUCOCORTICOID_BIOSYNTHESIS	Metabolism
REACTOME_PREGNENOLONE_BIOSYNTHESIS	Metabolism
REACTOME_NICOTINAMIDE_SALVAGING	Metabolism
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM	Metabolism
REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES	Metabolism
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM	Metabolism
REACTOME_NICOTINATE_METABOLISM	Metabolism
REACTOME_VITAMIN_B1_THIAMIN_METABOLISM	Metabolism
REACTOME_VITAMIN_C_ASCORBATE_METABOLISM	Metabolism
REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM	Metabolism
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	Metabolism
REACTOME_MOLYBDENUM_COFACTOR_BIOSYNTHESIS	Metabolism
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	Metabolism
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	Metabolism
REACTOME_METABOLISM_OF_COFACTORS	Metabolism
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	Signal Transduction
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	Signal Transduction
REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	Signal Transduction
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS	Signal Transduction
REACTOME_CREB_PHOSPHORYLATION	Signal Transduction
REACTOME_CREB_PHOSPHORYLATION	Immune System
REACTOME_ERKS_ARE_INACTIVATED	Signal Transduction
REACTOME_ERKS_ARE_INACTIVATED	Immune System
REACTOME_COENZYME_A_BIOSYNTHESIS	Metabolism
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	Metabolism of proteins
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT	Vesicle-mediated transport
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	Metabolism of proteins
REACTOME_CARGO_CONCENTRATION_IN_THE_ER	Vesicle-mediated transport
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	Metabolism of proteins
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	Vesicle-mediated transport
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE	Vesicle-mediated transport
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	Vesicle-mediated transport
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	Metabolism of proteins
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	Vesicle-mediated transport
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	Vesicle-mediated transport
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	Vesicle-mediated transport
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	Vesicle-mediated transport
REACTOME_RAB_REGULATION_OF_TRAFFICKING	Vesicle-mediated transport
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	Vesicle-mediated transport
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	Vesicle-mediated transport
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	Vesicle-mediated transport
REACTOME_WNT_MEDIATED_ACTIVATION_OF_DVL	Signal Transduction
REACTOME_FORMATION_OF_THE_BETA_CATENIN:TCF_TRANSACTIVATING_COMPLEX	Signal Transduction
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX	Signal Transduction
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS	Signal Transduction
REACTOME_DEGRADATION_OF_AXIN	Signal Transduction
REACTOME_DEGRADATION_OF_DVL	Signal Transduction
REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE	Signal Transduction
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	Signal Transduction
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS	Signal Transduction
REACTOME_BINDING_OF_TCF_LEF:CTNNB1_TO_TARGET_GENE_PROMOTERS	Signal Transduction
REACTOME_ENOS_ACTIVATION	Metabolism
REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING	Metabolism
REACTOME_ANCHORING_FIBRIL_FORMATION	Extracellular matrix organization
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	Extracellular matrix organization
REACTOME_DOWNSTREAM_TCR_SIGNALING	Immune System
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	Immune System
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE	Immune System
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	Immune System
REACTOME_PECAM1_INTERACTIONS	Hemostasis
REACTOME_BASIGIN_INTERACTIONS	Hemostasis
REACTOME_TIE2_SIGNALING	Hemostasis
REACTOME_FCGR_ACTIVATION	Immune System
REACTOME_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION	Immune System
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	Immune System
REACTOME_LINOLEIC_ACID_LA_METABOLISM	Metabolism
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	Signal Transduction
REACTOME_NADE_MODULATES_DEATH_SIGNALLING	Signal Transduction
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS	Signal Transduction
REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS	Metabolism
REACTOME_THYROXINE_BIOSYNTHESIS	Metabolism
REACTOME_MICRORNA_MIRNA_BIOGENESIS	Gene expression (Transcription)
REACTOME_SMALL_INTERFERING_RNA_SIRNA_BIOGENESIS	Gene expression (Transcription)
REACTOME_POST_TRANSCRIPTIONAL_SILENCING_BY_SMALL_RNAS	Gene expression (Transcription)
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	Gene expression (Transcription)
REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS	Gene expression (Transcription)
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	Metabolism
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	Metabolism
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	Metabolism
REACTOME_VITAMINS	Metabolism
REACTOME_FATTY_ACIDS	Metabolism
REACTOME_MISCELLANEOUS_SUBSTRATES	Metabolism
REACTOME_ENDOGENOUS_STEROLS	Metabolism
REACTOME_EICOSANOIDS	Metabolism
REACTOME_XENOBIOTICS	Metabolism
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	Metabolism
REACTOME_ETHANOL_OXIDATION	Metabolism
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING	Metabolism
REACTOME_CYP2E1_REACTIONS	Metabolism
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Gene expression (Transcription)
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	Gene expression (Transcription)
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	Gene expression (Transcription)
REACTOME_DNA_METHYLATION	Gene expression (Transcription)
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	Gene expression (Transcription)
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	Gene expression (Transcription)
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Gene expression (Transcription)
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	Gene expression (Transcription)
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS	Gene expression (Transcription)
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	Gene expression (Transcription)
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2	Gene expression (Transcription)
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	Gene expression (Transcription)
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	Gene expression (Transcription)
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2	Gene expression (Transcription)
REACTOME_FOXO_MEDIATED_TRANSCRIPTION	Gene expression (Transcription)
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET	Metabolism
REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS	Metabolism
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX	Metabolism
REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	Metabolism
REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES	Metabolism
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE	Metabolism
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX	Metabolism
REACTOME_HYALURONAN_BIOSYNTHESIS_AND_EXPORT	Metabolism
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	Metabolism
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT	Metabolism
REACTOME_ABACAVIR_METABOLISM	Metabolism
REACTOME_DAP12_SIGNALING	Immune System
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Vesicle-mediated transport
REACTOME_SCAVENGING_BY_CLASS_B_RECEPTORS	Vesicle-mediated transport
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS	Vesicle-mediated transport
REACTOME_SCAVENGING_BY_CLASS_F_RECEPTORS	Vesicle-mediated transport
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	Signal Transduction
REACTOME_DOWNREGULATION_OF_SMAD2_3:SMAD4_TRANSCRIPTIONAL_ACTIVITY	Gene expression (Transcription)
REACTOME_DOWNREGULATION_OF_SMAD2_3:SMAD4_TRANSCRIPTIONAL_ACTIVITY	Signal Transduction
REACTOME_SMAD2_SMAD3:SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	Gene expression (Transcription)
REACTOME_SMAD2_SMAD3:SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	Signal Transduction
REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION	Signal Transduction
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	Signal Transduction
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	Signal Transduction
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER	Disease
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER	Disease
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	Cellular responses to external stimuli
REACTOME_CELLULAR_SENESCENCE	Cellular responses to external stimuli
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	Cellular responses to external stimuli
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR	Cellular responses to external stimuli
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	Cellular responses to external stimuli
REACTOME_METABOLISM_OF_INGESTED_SEMET_SEC_MESEC_INTO_H2SE	Metabolism
REACTOME_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R	Signal Transduction
REACTOME_IRS_MEDIATED_SIGNALLING	Signal Transduction
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Immune System
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Immune System
REACTOME_FCERI_MEDIATED_CAPLUS2_MOBILIZATION	Immune System
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Immune System
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	Signal Transduction
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	Cellular responses to external stimuli
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Cellular responses to external stimuli
REACTOME_ONCOGENE_INDUCED_SENESCENCE	Cellular responses to external stimuli
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Cellular responses to external stimuli
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF	Cellular responses to external stimuli
REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER	Disease
REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER	Disease
REACTOME_TRP_CHANNELS	Transport of small molecules
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING	Developmental Biology
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	Developmental Biology
REACTOME_EPHRIN_SIGNALING	Developmental Biology
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	Developmental Biology
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS	Metabolism of proteins
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	Metabolism of proteins
REACTOME_INSULIN_PROCESSING	Metabolism of proteins
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	Metabolism of proteins
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	Metabolism of proteins
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	Cell Cycle
REACTOME_NUCLEAR_PORE_COMPLEX_NPC_DISASSEMBLY	Cell Cycle
REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA	Cell Cycle
REACTOME_PROCESSING_AND_ACTIVATION_OF_SUMO	Metabolism of proteins
REACTOME_SYNDECAN_INTERACTIONS	Extracellular matrix organization
REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS	Metabolism of proteins
REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS	Metabolism of proteins
REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2:SAE1	Metabolism of proteins
REACTOME_SUMO_IS_TRANSFERRED_FROM_E1_TO_E2_UBE2I_UBC9	Metabolism of proteins
REACTOME_SUMO_IS_PROTEOLYTICALLY_PROCESSED	Metabolism of proteins
REACTOME_MYOCLONIC_EPILEPSY_OF_LAFORA	Disease
REACTOME_HDACS_DEACETYLATE_HISTONES	Chromatin organization
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	Chromatin organization
REACTOME_HDMS_DEMETHYLATE_HISTONES	Chromatin organization
REACTOME_HATS_ACETYLATE_HISTONES	Chromatin organization
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	Chromatin organization
REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM	Disease
